"","Order","PID","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice","has.alley","Has.Basement","Has.Fireplace","Has.Garage","Has.Pool","Has.Wood.Deck","Has.Open.Porch","Has.X3Ssn.Porch","Has.Screen.Porch"
"1822",1822,532354070,"20","RL",68,7758,"Pave",1,"Lvl","other",0,"Sawyer","norm","norm","1Fam","1Story",5,7,1962,2001,"Gable","CompShg","HdBoard","Plywood","None",0,2,"Gd","CBlock",3,3,1,"ALQ",588,"Unf",0,411,999,"GasA",3,"Y","SBrkr",999,0,0,999,1,0,1,0,3,1,3,6,"Typ",0,0,"Detchd",1963,1,1,264,3,"TA","Paved",0,0,0,3,2007,"WD ","Normal",132500,"0",1,1,0,0,0,1,0,0
"2849",2849,909201180,"190","other",58,6430,"Pave",0,"Bnk","other",0,"SWISU","other","norm","2fmCon","1.5Fin",6,6,1945,1950,"Gable","CompShg","other","Wd Sdng","None",0,2,"TA","CBlock",3,3,3,"BLQ",780,"Unf",0,0,780,"GasA",2,"N","other",816,524,0,1340,1,0,1,0,3,1,2,6,"Typ",0,0,"Attchd",1945,1,1,440,3,"TA","Paved",0,0,0,7,2006,"WD ","Abnorml",128000,"0",1,1,0,0,0,0,0,0
"1214",1214,534403100,"80","RL",82,9020,"Pave",0,"Lvl","other",0,"NAmes","other","norm","1Fam","SLvl",6,5,1964,1964,"Gable","other","Plywood","Wd Sdng","BrkFace",259,2,"TA","CBlock",3,3,4,"GLQ",624,"other",336,288,1248,"GasA",2,"Y","SBrkr",1350,0,0,1350,1,0,1,1,3,1,2,6,"Typ",0,0,"Attchd",1964,2,2,520,3,"TA","Paved",4,0,0,6,2008,"WD ","Normal",168500,"0",1,1,0,0,1,0,0,0
"1098",1098,528294060,"60","RL",77,8390,"Pave",1,"Lvl","Inside",0,"Gilbert","norm","norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"TA","PConc",4,3,1,"Unf",0,"Unf",0,831,831,"GasA",4,"Y","SBrkr",873,778,0,1651,0,0,2,1,3,1,2,7,"Typ",1,3,"BuiltIn",1999,3,2,450,3,"TA","Paved",0,0,0,5,2008,"WD ","Normal",185900,"0",1,0,0,0,0,1,0,0
"158",158,535353190,"50","RL",78,17503,"Pave",0,"Lvl","Inside",0,"NAmes","other","norm","1Fam","1.5Fin",6,5,1948,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"TA","CBlock",3,3,1,"Unf",0,"Unf",0,912,912,"GasA",2,"Y","SBrkr",912,546,0,1458,0,1,1,0,3,1,2,6,"Typ",1,4,"Attchd",1948,1,1,330,3,"TA","Paved",0,0,0,1,2010,"WD ","Abnorml",97500,"0",1,0,0,0,1,0,0,0
"2731",2731,905351045,"150","RL",68,1700,"Pave",0,"HLS","Inside",0,"ClearCr","norm","norm","Twnhs","1.5Fin",7,5,1980,1981,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,2,"GLQ",397,"Unf",0,33,430,"GasA",2,"Y","SBrkr",880,680,140,1700,1,0,2,1,2,1,3,7,"Typ",0,0,"Basment",1980,3,1,450,4,"TA","Paved",0,0,0,4,2006,"WD ","Normal",148400,"0",1,1,0,0,1,1,0,1
"1230",1230,535104020,"20","RL",80,10197,"Pave",1,"Lvl","Inside",0,"NAmes","norm","norm","1Fam","1Story",6,5,1961,1961,"Gable","CompShg","other","other","other",491,2,"TA","CBlock",3,3,1,"ALQ",288,"other",374,700,1362,"GasA",2,"Y","SBrkr",1362,0,0,1362,1,0,1,1,3,1,2,6,"Typ",1,3,"Attchd",1961,1,2,504,3,"TA","Paved",0,0,0,6,2008,"other","Normal",163000,"0",1,0,0,0,0,1,0,0
"1510",1510,908275180,"50","RL",60,8172,"Pave",0,"Lvl","Inside",0,"Edwards","norm","norm","1Fam","1.5Fin",4,6,1954,1972,"Gable","CompShg","other","MetalSd","None",0,2,"TA","PConc",3,3,1,"Unf",0,"Unf",0,941,941,"GasA",4,"Y","SBrkr",997,473,0,1470,0,0,2,0,4,1,2,7,"Typ",0,0,"Detchd",1958,1,1,548,3,"TA","Paved",0,0,0,5,2008,"WD ","Normal",135000,"0",1,1,0,0,0,0,0,1
"329",329,923225440,"160","other",36,2592,"Pave",0,"Lvl","Inside",0,"MeadowV","norm","norm","TwnhsE","2Story",5,3,1976,1976,"Gable","CompShg","other","CmentBd","None",0,2,"TA","CBlock",4,3,1,"Rec",129,"other",232,175,536,"GasA",2,"Y","SBrkr",536,576,0,1112,0,0,1,1,3,1,2,4,"Typ",0,0,"Attchd",1976,1,1,336,3,"TA","Paved",0,0,0,4,2010,"WD ","Normal",85000,"0",1,1,0,0,1,0,0,0
"719",719,902329080,"70","other",60,3600,"Pave",0,"Lvl","Inside",0,"OldTown","norm","norm","1Fam","2Story",6,7,1917,2007,"Gable","CompShg","other","other","None",0,2,"TA","BrkTil",3,3,1,"Unf",0,"Unf",0,624,624,"GasA",4,"Y","SBrkr",664,624,0,1288,1,0,1,0,3,1,4,5,"Typ",1,4,"Attchd",1917,1,1,280,3,"TA","Unpaved",0,0,0,5,2009,"WD ","Normal",119000,"1",1,0,0,0,0,1,0,0
"677",677,535450160,"90","RL",60,8544,"Pave",0,"Lvl","other",0,"NAmes","norm","norm","Duplex","1Story",3,4,1950,1950,"Gable","CompShg","other","other","None",0,2,"TA","other",0,0,0,"No Basement",0,"other",0,0,0,"other",1,"N","other",1040,0,0,1040,0,0,2,0,2,2,2,6,"Typ",0,0,"Detchd",1987,1,2,400,3,"TA","Paved",0,0,0,6,2009,"WD ","Normal",92900,"0",0,1,0,0,0,0,0,0
"2881",2881,911175430,"20","other",50,9000,"Pave",0,"Lvl","Inside",0,"IDOTRR","norm","norm","1Fam","1Story",2,3,1949,1950,"Gable","CompShg","other","other","None",0,2,"TA","CBlock",3,3,3,"BLQ",50,"Unf",0,430,480,"GasA",2,"N","other",480,0,0,480,1,0,0,0,1,1,2,4,"Typ",0,0,"Detchd",1958,1,1,308,3,"TA","Paved",0,0,0,10,2006,"WD ","Abnorml",35311,"0",1,1,0,0,0,0,0,0
"2416",2416,528221010,"20","RL",102,11660,"Pave",1,"Lvl","Inside",0,"Gilbert","norm","norm","1Fam","1Story",6,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,3,"Unf",0,"Unf",0,1326,1326,"GasA",4,"Y","SBrkr",1326,0,0,1326,0,0,2,0,3,1,3,6,"Typ",0,0,"Attchd",2006,3,2,427,3,"TA","Paved",0,0,0,7,2006,"New","Partial",174190,"0",1,1,0,0,1,0,0,0
"2795",2795,907262080,"60","RL",70,8726,"Pave",0,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","2Story",7,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,872,872,"GasA",4,"Y","SBrkr",872,1037,0,1909,0,0,2,1,4,1,3,8,"Typ",0,0,"BuiltIn",2002,2,2,529,3,"TA","Paved",0,0,0,9,2006,"WD ","Normal",197000,"0",1,1,0,0,0,1,0,0
"1469",1469,907290150,"120","other",37,4435,"Pave",0,"Lvl","Inside",0,"CollgCr","norm","norm","TwnhsE","1Story",6,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",170,3,"TA","PConc",4,3,3,"GLQ",686,"Unf",0,162,848,"GasA",4,"Y","SBrkr",848,0,0,848,1,0,1,0,1,1,3,3,"Typ",0,0,"Attchd",2003,3,2,420,3,"TA","Paved",0,0,0,3,2008,"WD ","Normal",136500,"0",1,1,0,0,1,0,0,0
"102",102,533221110,"160","FV",68,2980,"Pave",0,"Lvl","other",0,"Somerst","norm","norm","TwnhsE","2Story",6,5,2000,2000,"Gable","CompShg","other","MetalSd","BrkFace",1159,3,"TA","PConc",4,3,1,"GLQ",466,"Unf",0,290,756,"GasA",4,"Y","SBrkr",756,756,0,1512,1,0,2,1,2,1,3,5,"Typ",0,0,"Detchd",2000,1,2,440,3,"TA","Paved",0,0,0,5,2010,"WD ","Normal",177000,"0",1,1,0,0,0,1,0,0
"1850",1850,533241030,"60","FV",66,7399,"Pave",1,"Lvl","Inside",0,"Somerst","norm","norm","1Fam","2Story",7,5,1997,1998,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1600,3,"TA","PConc",4,3,1,"BLQ",649,"Unf",0,326,975,"GasA",4,"Y","SBrkr",975,975,0,1950,0,0,2,1,3,1,3,7,"Typ",1,3,"Detchd",1997,2,2,576,3,"TA","Paved",0,0,0,6,2007,"WD ","Normal",239000,"1",1,0,0,0,0,1,0,1
"1498",1498,908154080,"20","RL",123,47007,"Pave",1,"Lvl","Inside",0,"Edwards","norm","norm","1Fam","1Story",5,7,1959,1996,"Gable","CompShg","Plywood","Plywood","None",0,2,"TA","other",0,0,0,"No Basement",0,"other",0,0,0,"GasA",2,"Y","SBrkr",3820,0,0,3820,0,0,3,1,5,1,4,11,"Typ",2,4,"Attchd",1959,1,2,624,3,"TA","Paved",0,0,0,7,2008,"WD ","Normal",284700,"0",0,0,0,0,0,1,0,0
"709",709,902205010,"30","other",50,5925,"Pave",0,"Lvl","other",0,"OldTown","norm","norm","1Fam","1Story",2,4,1940,1950,"Gable","CompShg","other","MetalSd","None",0,2,"Gd","BrkTil",0,0,0,"No Basement",0,"other",0,0,0,"GasA",1,"N","other",612,0,0,612,0,0,1,0,1,1,2,4,"Typ",0,0,"Detchd",1965,1,1,308,3,"Fa","Unpaved",0,0,0,10,2009,"WD ","Normal",45000,"0",0,1,0,0,0,0,0,0
"1914",1914,535106140,"20","RL",70,10150,"Pave",0,"Lvl","Inside",0,"NAmes","other","norm","1Fam","1Story",5,5,1958,1958,"Gable","CompShg","other","Wd Sdng","None",1,2,"TA","CBlock",3,3,1,"Rec",456,"Unf",0,456,912,"GasA",4,"Y","other",912,0,0,912,0,0,1,0,2,1,2,5,"Typ",0,0,"Attchd",1958,2,1,275,3,"TA","Paved",0,0,0,7,2007,"other","Normal",114500,"0",1,1,0,0,0,0,0,0
"2283",2283,923205025,"190","RL",68,32463,"Pave",0,"Low","Inside",1,"Mitchel","norm","norm","2fmCon","1Story",4,4,1961,1975,"Gable","CompShg","other","MetalSd","other",149,2,"Gd","CBlock",3,3,3,"BLQ",1159,"Unf",0,90,1249,"GasA",4,"Y","SBrkr",1622,0,0,1622,1,0,1,0,3,1,2,7,"Typ",1,3,"2Types",1975,3,4,1356,3,"TA","Paved",0,0,0,3,2007,"WD ","Normal",168000,"0",1,0,0,0,1,0,0,0
"1563",1563,911370540,"120","other",44,3842,"Pave",1,"HLS","Inside",1,"Crawfor","norm","norm","TwnhsE","1Story",8,5,2004,2005,"Hip","CompShg","other","CmentBd","other",174,3,"TA","PConc",5,3,4,"GLQ",1373,"Unf",0,221,1594,"GasA",4,"Y","SBrkr",1646,0,0,1646,1,1,2,0,2,1,3,5,"Typ",1,4,"Attchd",2004,3,2,482,3,"TA","Paved",0,0,0,1,2008,"WD ","Normal",275000,"0",1,0,0,0,1,1,0,1
"6",6,527105030,"60","RL",78,9978,"Pave",1,"Lvl","Inside",0,"Gilbert","norm","norm","1Fam","2Story",6,6,1998,1998,"Gable","CompShg","VinylSd","VinylSd","BrkFace",20,2,"TA","PConc",3,3,1,"GLQ",602,"Unf",0,324,926,"GasA",4,"Y","SBrkr",926,678,0,1604,0,0,2,1,3,1,3,7,"Typ",1,4,"Attchd",1998,3,2,470,3,"TA","Paved",0,0,0,6,2010,"WD ","Normal",195500,"0",1,0,0,0,1,1,0,0
"2822",2822,908127050,"20","RL",73,16133,"Pave",0,"HLS","Inside",0,"Edwards","norm","norm","1Fam","1Story",5,4,1969,1969,"Gable","CompShg","HdBoard","Plywood","None",0,2,"TA","CBlock",4,3,2,"ALQ",847,"Unf",0,329,1176,"GasA",2,"Y","SBrkr",1176,0,0,1176,1,0,1,0,2,1,2,5,"Typ",0,0,"Attchd",1969,1,1,360,3,"TA","Paved",0,0,0,12,2006,"WD ","Abnorml",119900,"0",1,1,0,0,0,1,0,1
"2186",2186,908225240,"20","RL",75,10215,"Pave",0,"Bnk","Inside",0,"Edwards","norm","norm","1Fam","1Story",4,5,1954,1954,"Hip","CompShg","other","Wd Sdng","BrkFace",132,2,"TA","PConc",3,3,1,"ALQ",492,"Unf",0,372,864,"GasA",4,"Y","SBrkr",948,0,0,948,0,0,1,0,3,1,2,5,"Typ",0,0,"Attchd",1954,1,1,248,3,"TA","Paved",0,0,0,2,2007,"WD ","Normal",111000,"0",1,1,0,0,0,0,0,0
"1136",1136,531375110,"20","RL",66,13695,"Pave",0,"Lvl","Inside",0,"SawyerW","other","norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"TA","PConc",3,3,1,"GLQ",646,"Unf",0,468,1114,"GasA",4,"Y","SBrkr",1114,0,0,1114,1,0,1,1,3,1,3,6,"Typ",0,0,"Detchd",2004,1,2,576,3,"TA","Paved",0,0,0,6,2008,"WD ","Normal",159000,"0",1,1,0,0,0,1,0,0
"17",17,527225035,"50","RL",152,12134,"Pave",1,"Bnk","Inside",1,"Gilbert","norm","norm","1Fam","1.5Fin",8,7,1988,2005,"Gable","CompShg","other","Wd Sdng","None",0,3,"TA","other",4,3,3,"GLQ",427,"Unf",0,132,559,"GasA",3,"Y","SBrkr",1080,672,0,1752,0,0,2,0,4,1,2,8,"Typ",0,0,"Basment",1988,2,2,492,3,"TA","Paved",0,0,0,6,2010,"WD ","Normal",164000,"0",1,1,0,0,1,1,0,0
"825",825,906380060,"20","RL",77,11422,"Pave",1,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","1Story",8,5,2007,2008,"Hip","CompShg","VinylSd","VinylSd","other",352,3,"TA","PConc",5,3,3,"GLQ",1359,"Unf",0,479,1838,"GasA",4,"Y","SBrkr",1838,0,0,1838,1,0,2,0,3,1,3,7,"Typ",2,4,"Attchd",2007,2,2,524,3,"TA","Paved",0,0,0,4,2009,"WD ","Normal",272500,"0",1,0,0,0,1,1,0,0
"2777",2777,907181090,"60","RL",68,9272,"Pave",1,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,1,"GLQ",500,"Unf",0,342,842,"GasA",4,"Y","SBrkr",856,893,0,1749,0,0,2,1,3,1,3,7,"Typ",0,0,"Attchd",1999,2,2,515,3,"TA","Paved",0,0,0,6,2006,"WD ","Normal",196000,"0",1,1,0,0,1,1,0,0
"208",208,903476030,"190","other",76,7630,"Pave",0,"Lvl","Inside",0,"OldTown","other","norm","2fmCon","2Story",5,9,1900,1996,"Gable","CompShg","other","Wd Sdng","None",0,2,"Gd","BrkTil",4,3,1,"Unf",0,"Unf",0,360,360,"GasA",3,"Y","SBrkr",1032,780,0,1812,0,0,2,0,4,2,3,8,"Typ",1,1,"Detchd",1999,1,2,672,3,"TA","Unpaved",NA,0,0,5,2010,"WD ","Normal",140000,"0",1,0,0,0,1,0,0,0
"439",439,528120030,"20","RL",87,10367,"Pave",1,"Lvl","Inside",0,"NridgHt","norm","norm","1Fam","1Story",9,5,2008,2008,"Hip","CompShg","VinylSd","VinylSd","other",284,4,"TA","PConc",5,3,2,"GLQ",1015,"Unf",0,724,1739,"GasA",4,"Y","SBrkr",1743,0,0,1743,1,0,2,0,3,1,4,8,"Typ",1,4,"Attchd",2008,2,3,927,3,"TA","Paved",0,0,0,6,2009,"other","Normal",335000,"0",1,0,0,0,1,1,0,0
"1707",1707,528150040,"20","RL",94,13615,"Pave",1,"HLS","other",1,"NridgHt","norm","norm","1Fam","1Story",9,5,2006,2006,"Hip","CompShg","other","MetalSd","other",510,4,"TA","PConc",5,3,4,"Unf",0,"Unf",0,1802,1802,"GasA",4,"Y","SBrkr",1802,0,0,1802,0,0,2,1,3,1,4,7,"Typ",1,4,"Attchd",2006,3,3,843,3,"TA","Paved",0,0,0,6,2007,"WD ","Normal",372000,"0",1,0,0,0,1,1,0,0
"16",16,527216070,"60","RL",47,53504,"Pave",2,"HLS","other",1,"StoneBr","norm","norm","1Fam","2Story",8,5,2003,2003,"Hip","CompShg","other","other","BrkFace",603,4,"TA","PConc",4,3,4,"ALQ",1416,"Unf",0,234,1650,"GasA",4,"Y","SBrkr",1690,1589,0,3279,1,0,3,1,4,1,4,12,"BelowTyp",1,4,"BuiltIn",2003,3,3,841,3,"TA","Paved",0,0,0,6,2010,"WD ","Normal",538000,"0",1,0,0,0,1,1,0,1
"306",306,911202100,"50","other",66,8712,"Pave",0,"HLS","Inside",1,"IDOTRR","norm","norm","1Fam","1.5Fin",4,7,1900,1950,"Gable","CompShg","other","MetalSd","None",0,2,"TA","other",3,3,2,"Unf",0,"Unf",0,859,859,"GasA",3,"Y","SBrkr",859,319,0,1178,0,0,1,0,2,1,2,7,"Typ",0,0,"Detchd",1964,2,1,384,3,"TA","Unpaved",0,0,0,1,2010,"WD ","Abnorml",102776,"1",1,1,0,0,1,0,0,0
"1182",1182,533251120,"20","RL",68,11120,"Pave",1,"Lvl","other",0,"Veenker","norm","norm","1Fam","1Story",6,6,1984,1984,"Gable","CompShg","Plywood","Plywood","None",0,2,"TA","PConc",4,3,1,"BLQ",660,"Unf",0,572,1232,"GasA",2,"Y","SBrkr",1232,0,0,1232,0,0,2,0,3,1,2,6,"Typ",0,0,"Attchd",1984,1,2,516,3,"TA","Paved",0,0,0,6,2008,"WD ","Normal",162500,"0",1,1,0,0,0,0,0,0
"2600",2600,535377100,"50","RL",60,7008,"Pave",0,"Lvl","other",0,"OldTown","norm","norm","1Fam","1.5Fin",4,8,1900,1998,"Gable","CompShg","other","MetalSd","None",0,2,"Gd","BrkTil",2,2,1,"Unf",0,"Unf",0,448,448,"GasA",4,"Y","SBrkr",448,272,0,720,0,0,1,0,1,1,1,5,"Typ",0,0,"Attchd",1900,1,1,280,2,"TA","Paved",0,0,0,3,2006,"WD ","Normal",86900,"0",1,1,0,0,0,0,0,0
"2832",2832,908188140,"160","other",24,2522,"Pave",0,"Lvl","Inside",0,"Edwards","norm","norm","Twnhs","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","other",50,3,"TA","PConc",4,3,1,"Unf",0,"Unf",0,970,970,"GasA",4,"Y","SBrkr",970,739,0,1709,0,0,2,0,3,1,3,7,"BelowTyp",0,0,"Detchd",2004,1,2,380,3,"TA","Paved",0,0,0,4,2006,"WD ","Normal",137500,"0",1,1,0,0,0,1,0,0
"1360",1360,903452025,"30","other",68,6291,"Grvl",1,"Lvl","Inside",0,"IDOTRR","other","norm","1Fam","1Story",6,6,1930,1950,"Gable","CompShg","other","other","None",0,3,"Gd","BrkTil",3,3,1,"Unf",0,"Unf",0,768,768,"GasA",2,"Y","SBrkr",768,0,0,768,0,0,1,0,1,1,2,4,"Typ",0,0,"Detchd",1930,1,2,440,3,"TA","Unpaved",0,0,0,7,2008,"WD ","Normal",93850,"0",1,1,0,0,0,0,0,0
"194",194,903225150,"30","other",50,5000,"Pave",0,"Lvl","Inside",0,"BrkSide","other","norm","1Fam","1Story",4,7,1925,1950,"Gable","CompShg","other","MetalSd","None",0,2,"TA","BrkTil",3,3,1,"Rec",188,"Unf",0,577,765,"GasA",2,"N","other",765,0,0,765,1,0,1,0,2,1,3,4,"Typ",0,0,"Detchd",1926,1,1,200,2,"TA","Unpaved",NA,0,0,4,2010,"WD ","Normal",87000,"0",1,1,0,0,1,0,0,0
"374",374,527326150,"20","RL",68,16635,"Pave",1,"Lvl","other",0,"NWAmes","norm","norm","1Fam","1Story",6,7,1977,2000,"Gable","CompShg","other","CmentBd","other",126,3,"TA","CBlock",4,3,1,"ALQ",1246,"Unf",0,356,1602,"GasA",3,"Y","SBrkr",1602,0,0,1602,0,1,2,0,3,1,3,8,"Typ",1,3,"Attchd",1977,3,2,529,3,"TA","Paved",0,0,0,6,2009,"WD ","Normal",215000,"0",1,0,0,0,1,0,0,0
"761",761,903484110,"190","other",60,10320,"Pave",0,"Bnk","Inside",0,"IDOTRR","other","norm","2fmCon","2Story",6,7,1915,1965,"Gable","CompShg","other","MetalSd","None",0,2,"Gd","CBlock",3,3,1,"Rec",276,"other",262,160,698,"GasA",4,"Y","other",754,649,0,1403,1,0,1,1,3,1,2,7,"Typ",0,0,"Detchd",1915,1,1,308,3,"TA","Paved",0,0,0,2,2009,"WD ","Normal",116000,"1",1,1,0,0,0,0,0,0
"2493",2493,532376250,"20","RL",68,8638,"Pave",1,"Lvl","Inside",0,"Sawyer","other","norm","1Fam","1Story",5,6,1963,1963,"Gable","CompShg","HdBoard","HdBoard","None",0,2,"TA","PConc",3,3,1,"ALQ",181,"Unf",0,744,925,"GasA",3,"Y","SBrkr",925,0,0,925,1,0,1,0,2,1,2,5,"Typ",0,0,"Detchd",1990,1,2,484,3,"TA","Paved",0,0,0,10,2006,"WD ","Normal",133500,"0",1,1,0,0,1,1,0,0
"1507",1507,908250040,"50","RL",57,8050,"Pave",0,"Lvl","Inside",0,"Edwards","norm","norm","1Fam","1.5Fin",5,8,1947,1993,"Gable","CompShg","other","MetalSd","None",0,2,"Gd","other",0,0,0,"No Basement",0,"other",0,0,0,"GasA",3,"Y","SBrkr",929,208,0,1137,0,0,1,1,4,1,2,8,"BelowTyp",0,0,"No Garage",1979,0,0,0,0,"No Garage","Paved",0,0,0,4,2008,"WD ","Normal",96000,"0",0,1,1,0,0,0,0,0
"1433",1433,907135020,"20","RL",75,9525,"Pave",0,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","1Story",5,6,1995,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"TA","PConc",4,3,1,"Unf",0,"Unf",0,1099,1099,"GasA",4,"Y","SBrkr",1099,0,0,1099,0,0,1,1,3,1,3,6,"Typ",0,0,"Attchd",1999,1,1,352,3,"TA","Paved",0,0,0,6,2008,"WD ","Normal",144000,"0",1,1,0,0,1,0,0,0
"1661",1661,527359160,"80","RL",64,8991,"Pave",1,"Lvl","other",0,"NWAmes","other","norm","1Fam","SLvl",7,6,1976,1976,"Gable","CompShg","Plywood","Plywood","other",130,2,"TA","CBlock",4,3,4,"GLQ",624,"other",604,0,1228,"GasA",2,"Y","SBrkr",1324,0,0,1324,0,1,2,0,3,1,3,5,"Typ",1,2,"Attchd",1976,3,2,585,3,"TA","Paved",0,0,0,2,2007,"WD ","Normal",174000,"0",1,0,0,0,1,1,0,0
"2909",2909,923225190,"160","other",41,2665,"Pave",0,"Lvl","Inside",0,"MeadowV","norm","norm","TwnhsE","2Story",5,6,1977,1977,"Gable","CompShg","other","CmentBd","None",0,2,"TA","PConc",4,3,2,"Unf",0,"Unf",0,264,264,"GasA",2,"Y","SBrkr",616,688,0,1304,0,0,1,1,3,1,2,5,"Typ",1,3,"BuiltIn",1977,2,1,336,3,"TA","Paved",0,0,0,5,2006,"WD ","Normal",104500,"0",1,0,0,0,1,0,0,0
"705",705,902135020,"20","other",60,6000,"Pave",0,"Bnk","Inside",1,"OldTown","norm","norm","2fmCon","1Story",4,4,1953,1953,"Gable","CompShg","other","MetalSd","None",0,1,"TA","CBlock",2,3,1,"Unf",0,"Unf",0,936,936,"GasA",2,"N","SBrkr",936,0,0,936,0,0,1,0,2,1,2,4,"BelowTyp",0,0,"Detchd",1974,1,2,576,3,"TA","Paved",0,0,0,2,2009,"WD ","Normal",93000,"1",1,1,0,0,0,1,0,0
"722",722,902401130,"70","other",50,9000,"Pave",0,"Lvl","Inside",0,"OldTown","other","norm","1Fam","2Story",7,9,1920,1988,"Hip","CompShg","VinylSd","VinylSd","None",0,2,"Gd","PConc",3,3,1,"ALQ",624,"Unf",0,26,650,"GasA",4,"Y","SBrkr",832,650,0,1482,0,1,1,0,3,1,2,7,"Typ",0,0,"Detchd",1930,1,2,324,3,"TA","Paved",0,0,0,7,2009,"WD ","Normal",143000,"0",1,1,0,0,0,0,0,0
"257",257,907125090,"85","RL",82,11105,"Pave",0,"Lvl","other",0,"CollgCr","norm","norm","1Fam","SFoyer",5,5,1996,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,2,"Gd","PConc",4,2,3,"GLQ",870,"Unf",0,0,870,"GasA",3,"Y","SBrkr",965,0,0,965,1,0,1,0,2,1,2,4,"Typ",0,0,"Attchd",1998,1,2,580,4,"TA","Paved",4,0,0,7,2010,"WD ","Normal",159000,"0",1,1,0,0,1,0,0,0
"1561",1561,911370490,"120","other",44,3843,"Pave",1,"HLS","Inside",1,"Crawfor","norm","norm","TwnhsE","1Story",8,5,2007,2008,"Hip","CompShg","other","CmentBd","other",186,4,"TA","PConc",5,3,4,"GLQ",1476,"Unf",0,120,1596,"GasA",4,"Y","SBrkr",1648,0,0,1648,1,1,2,0,2,1,4,5,"Typ",1,4,"Attchd",2007,3,2,525,3,"TA","Paved",0,0,0,8,2008,"New","Partial",294464,"0",1,0,0,0,1,1,1,0
"1500",1500,908186040,"180","other",35,3675,"Pave",0,"Lvl","Inside",0,"Edwards","norm","norm","TwnhsE","SLvl",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",80,2,"TA","PConc",4,3,4,"GLQ",459,"Unf",0,88,547,"GasA",4,"Y","SBrkr",1072,0,0,1072,1,0,1,0,2,1,2,5,"Typ",0,0,"Basment",2005,2,2,525,3,"TA","Paved",0,0,0,6,2008,"WD ","Normal",148000,"0",1,1,0,0,0,1,0,0
"1808",1808,531363040,"20","RL",63,7500,"Pave",0,"Lvl","Inside",0,"SawyerW","norm","norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,4,1,"Unf",0,"Unf",0,1143,1143,"GasA",4,"Y","SBrkr",1143,0,0,1143,0,0,1,1,3,1,3,5,"Typ",0,0,"No Garage",1979,0,0,0,0,"No Garage","Paved",0,0,0,10,2007,"WD ","Normal",147000,"0",1,1,1,0,0,1,0,0
"2806",2806,907401050,"20","RL",70,8810,"Pave",0,"Lvl","Inside",0,"CollgCr","norm","norm","1Fam","1Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,3,"TA","PConc",4,3,1,"GLQ",1000,"Unf",0,390,1390,"GasA",4,"Y","SBrkr",1390,0,0,1390,1,0,2,0,3,1,3,7,"Typ",0,0,"Attchd",2003,2,2,545,3,"TA","Paved",0,0,0,3,2006,"WD ","Normal",207000,"0",1,1,0,0,0,1,0,0
